TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,CUACA,Encoding CUACA
2020-03-07,24.6,33.2,28.3,83.0,2.0,0.4,4,230,2,SW,Hujan,1
2020-03-08,23.2,32.4,27.7,81.0,8.0,4.4,3,360,2,N ,Hujan,1
2020-03-09,23.2,34.6,30.5,68.0,0.0,1.1,6,260,2,C ,Cerah,0
2020-03-10,24.2,34.6,28.8,80.0,4.6,4.5,4,270,2,W ,Hujan,1
2020-03-11,25.8,34.6,29.6,77.0,1.5,5.8,5,270,3,W ,Hujan,1
2020-03-12,25.5,35.0,30.2,74.0,0.0,7.7,5,270,3,W ,Cerah,0
2020-03-13,25.2,34.0,28.5,80.0,0.0,6.8,5,300,4,W ,Cerah,0
2020-03-14,25.4,33.4,29.1,77.0,0.0,7.5,4,270,2,N ,Cerah,0
2020-03-15,25.1,33.2,29.3,76.0,0.0,2.7,5,280,3,W ,Cerah,0
2020-03-16,24.8,34.4,29.5,74.0,0.0,4.9,5,260,3,W ,Cerah,0
2020-03-17,23.6,34.4,28.8,74.0,0.0,7.4,5,270,3,W ,Cerah,0
2020-03-18,24.4,34.6,29.5,73.0,0.0,7.5,6,260,4,W ,Cerah,0
2020-03-19,24.6,33.2,29.1,75.0,0.0,8.0,9,240,3,W ,Cerah,0
2020-03-20,24.8,33.8,28.7,79.0,0.0,4.2,4,310,2,NW,Cerah,0
2020-03-21,22.8,28.6,25.5,89.0,94.1,4.8,3,360,1,N ,Hujan,1
2020-03-22,23.0,33.8,28.0,80.0,1.3,0.0,4,230,2,N ,Hujan,1
2020-03-23,23.85,35.8,29.4,75.0,0.0,6.5,4,250,2,N ,Cerah,0
2020-03-24,24.7,32.4,28.0,82.0,8.2,7.8,3,300,1,NW,Hujan,1
2020-03-25,24.6,33.6,28.9,77.0,4.6,2.9,5,250,2,N ,Hujan,1
2020-03-26,24.8,33.0,29.1,76.0,1.0,5.7,4,230,2,NW,Hujan,1
2020-03-27,26.6,34.4,29.7,78.0,0.0,4.4,6,260,3,W ,Cerah,0
2020-03-28,24.6,35.4,29.3,76.0,0.0,7.1,3,320,2,NW,Cerah,0
2020-03-29,24.4,33.0,28.5,80.0,3.1,7.2,4,260,2,W ,Hujan,1
2020-03-30,24.85,32.0,28.2,82.0,4.55,4.3,4,190,2,SW,Hujan,1
2020-03-31,25.3,34.8,28.7,80.0,6.0,3.5,4,280,2,N ,Hujan,1
