TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
30-03-2020;-;32;28,2;82;8888;4,3;4;190;2;SW
31-03-2020;25,3;34,8;28,7;80;6;3,5;4;280;2;N 
01-04-2020;24,2;32;27,5;82;4,5;6,1;5;230;2;SW
02-04-2020;23,3;33;28,1;85;4,5;3,9;3;30;2;NW
03-04-2020;24,8;34;29,2;77;29,5;5;4;250;3;W 
04-04-2020;25,2;33,7;29,5;74;0;7,8;5;250;3;W 
05-04-2020;26;35;29,6;72;0;6,6;5;270;3;W 
06-04-2020;24,6;34,8;30,4;71;0;8;5;250;3;W 
07-04-2020;-;34;28,5;81;0;7,8;3;30;2;N 
08-04-2020;24,2;31,1;27,4;86;10;5,9;4;150;2;N 
09-04-2020;25,2;34;28,1;83;5;0,6;4;200;2;N 
10-04-2020;25;33,8;29,2;80;8888;4,9;4;210;2;NW
11-04-2020;23,8;31;27,6;78;1;5,3;4;10;2;N 
12-04-2020;24,6;34;29;78;8888;0,7;4;250;2;W 
13-04-2020;25,8;34,6;29,4;77;4;6,9;4;270;2;W 
14-04-2020;24,4;34;29,2;74;0;7,2;5;260;2;SW
15-04-2020;24,6;35,8;29,9;72;0;6,9;4;240;2;N 
16-04-2020;24,6;34,8;29,9;72;-;6,8;4;270;2;W 
17-04-2020;26,6;35,4;30,2;77;0;7,6;7;240;4;NW
18-04-2020;25,4;35,6;30,4;72;0;7,8;6;260;3;W 
19-04-2020;25;31,6;28;83;1,3;7,7;4;350;2;N 
20-04-2020;24,8;33,1;28,7;80;0,4;3,2;4;150;2;W 
21-04-2020;25,5;35;29,2;76;0,6;3,2;3;160;2;SW
22-04-2020;25;32,2;27;90;0;5,7;13;300;2;N 
23-04-2020;25,2;33,4;28,8;83;7,5;2,3;3;250;1;N 
24-04-2020;25,2;36,2;28,5;83;8888;5,1;3;350;2;N 
25-04-2020;25,6;33,8;28,4;80;49,5;7,5;4;180;2;N 
26-04-2020;24,6;30,4;27,6;85;41,4;5,1;3;260;1;C 
27-04-2020;24,6;33,4;28,9;79;4,8;1,2;4;270;2;W 
28-04-2020;25;31,2;27,5;86;-;5,5;3;340;2;E 
29-04-2020;25,6;32,1;27,4;87;8,5;2,1;4;170;2;S 
30-04-2020;24,4;30,2;26,6;91;4;2,9;4;350;1;C 
01-05-2020;25;32,4;-;-;18,8;0,6;5;220;2;SW
02-05-2020;25,2;32;28;88;8888;5,1;4;240;1;C 
03-05-2020;24,4;31,4;27,5;82;18;2,1;3;310;2;NW
04-05-2020;24;33,4;28,8;83;-;3,3;3;190;1;C 
05-05-2020;25,2;33,8;28,8;83;0,9;1,7;5;210;2;SW
06-05-2020;25,8;34,4;29,9;81;-;5,8;3;240;1;SW
07-05-2020;25,8;34,2;29,9;80;-;4,2;3;220;2;SW
08-05-2020;26;35,2;30,4;78;0;4,6;4;260;2;SW
09-05-2020;26,4;32,8;28,1;88;8888;6,1;4;270;1;C 
10-05-2020;24;32,4;28,1;80;42;2,3;3;10;1;NE
11-05-2020;25,4;35,2;29,2;80;8888;3,6;4;140;2;E 
12-05-2020;26,1;32,7;29,1;84;0;7,3;4;340;2;N 
13-05-2020;25,4;34,4;29,8;76;1,4;2,9;4;260;2;C 
14-05-2020;25,6;32,8;29,3;81;-;5,4;4;170;2;C 
15-05-2020;26;33,3;29,1;84;1,3;4;3;100;1;C 
16-05-2020;25,6;34,2;28,6;86;18;2,2;4;120;1;C 
17-05-2020;25,8;31,8;28,1;88;7,3;3,6;4;150;2;N 
18-05-2020;25,2;32,2;27,5;88;1,8;2,5;3;320;1;C 
19-05-2020;26;31,3;26,5;93;12;3;3;150;1;C 
20-05-2020;25;34;28,5;84;5,7;0,3;3;260;1;C 
21-05-2020;25,4;31,6;26,9;91;0;6,1;4;30;1;C 
22-05-2020;23,6;28,1;25,7;92;45,4;1,4;2;10;1;N 
23-05-2020;24,4;33,2;28,2;81;28;0;3;150;2;SE
25-05-2020;26,4;30,6;27,4;90;0;2,5;4;340;1;N 
26-05-2020;24,4;34;29;78;0,8;0,8;4;260;2;N 
27-05-2020;24,6;33,4;29,4;82;-;7,7;4;170;2;S 
28-05-2020;25;31,6;28,1;86;11,6;5,7;3;250;2;NW
29-05-2020;24,6;31,4;27,7;85;11,7;4,2;4;250;2;W 
